#,Type 1,Total,Attack,Defense,Sp. Atk,Sp. Def
19,Normal,253,56,35,25,35
95,Rock,385,45,160,30,45
401,Bug,194,25,41,25,41
249,Psychic,680,90,130,90,154
447,Fighting,285,70,40,35,40
599,Steel,300,55,70,45,60
323,Fire,460,100,70,105,75
78,Fire,500,100,70,80,80
551,Ground,292,72,35,35,35
317,Poison,467,73,83,73,83
72,Water,335,40,35,50,100
199,Water,490,75,80,100,110
6,Fire,534,84,78,109,85
556,Grass,461,86,67,106,67
536,Water,384,65,55,65,55
699,Rock,521,77,72,99,92
386,Psychic,600,150,50,150,50
468,Fairy,545,50,95,120,115
324,Fire,470,85,140,85,70
248,Rock,600,134,110,95,100
678,Psychic,466,48,76,83,81
204,Bug,290,65,90,35,35
584,Ice,535,95,85,110,95
443,Dragon,300,70,45,40,45
325,Psychic,330,25,35,70,80
112,Ground,485,130,120,45,45
416,Bug,474,80,102,80,102
705,Dragon,452,75,53,83,113
635,Dark,600,105,90,125,90
208,Steel,510,85,200,55,65
32,Poison,273,57,40,40,40
91,Water,525,95,180,85,45
438,Rock,290,80,95,10,45
195,Water,430,85,85,65,65
708,Ghost,309,70,48,50,60
478,Ice,480,80,70,80,70
157,Fire,534,84,78,109,85
647,Water,580,72,90,129,90
604,Electric,515,115,80,105,80
398,Normal,485,120,70,50,60
34,Poison,505,102,77,85,75
60,Water,300,50,40,40,40
114,Grass,435,55,115,100,40
700,Fairy,525,65,65,110,130
569,Poison,474,95,82,60,82
354,Ghost,455,115,65,83,63
534,Fighting,505,140,95,55,65
601,Steel,520,100,115,70,85
623,Ground,483,124,80,55,80
53,Normal,440,70,60,65,65
8,Water,405,63,80,65,80
276,Normal,270,55,30,30,30
343,Ground,300,40,55,40,70
367,Water,485,104,105,94,75
171,Water,460,58,58,76,76
306,Steel,530,110,180,60,60
56,Fighting,305,80,35,35,45
5,Fire,405,64,58,80,65
331,Grass,335,85,40,85,40
606,Psychic,485,75,75,125,95
308,Fighting,410,60,75,60,75
283,Bug,269,30,32,50,52
535,Water,294,50,40,50,40
680,Steel,448,110,150,45,49
43,Grass,320,50,55,75,65
98,Water,325,105,90,25,25
36,Fairy,483,70,73,95,90
718,Dragon,600,100,121,81,95
583,Ice,395,65,65,80,75
139,Rock,495,60,125,115,70
290,Bug,266,45,90,30,30
147,Dragon,300,64,45,50,50
305,Steel,430,90,140,50,50
429,Ghost,495,60,60,105,105
163,Normal,262,30,30,36,56
441,Normal,411,65,45,92,42
315,Grass,400,60,45,100,80
582,Ice,305,50,50,65,60
105,Ground,425,80,110,50,80
101,Electric,480,50,70,80,80
463,Normal,515,85,95,80,95
532,Fighting,305,80,55,25,35
24,Poison,438,85,69,65,79
659,Normal,237,36,38,32,36
356,Ghost,455,70,130,60,130
183,Water,250,20,50,20,50
643,Dragon,680,120,100,150,120
555,Fire,480,140,55,30,55
475,Psychic,518,125,65,65,115
523,Electric,497,100,63,80,63
86,Water,325,45,55,45,70
103,Grass,520,95,85,125,65
547,Grass,480,67,85,77,75
405,Electric,523,120,79,95,79
10,Bug,195,30,35,20,20
142,Rock,515,105,65,60,75
287,Normal,280,60,60,35,35
96,Psychic,328,48,45,43,90
600,Steel,440,80,95,70,85
160,Water,530,105,100,79,83
288,Normal,440,80,80,55,55
26,Electric,485,90,55,90,80
134,Water,525,65,60,110,95
263,Normal,240,30,41,30,41
385,Steel,600,100,100,100,100
241,Normal,490,80,105,40,70
131,Water,535,85,80,85,95
280,Psychic,198,25,25,45,35
127,Bug,500,125,100,55,70
339,Water,288,48,43,46,41
38,Fire,505,76,75,81,100
406,Grass,280,30,35,50,70
200,Ghost,435,60,60,85,85
282,Psychic,518,65,65,125,115
593,Water,480,60,70,85,105
698,Rock,362,59,50,67,63
573,Normal,470,95,60,65,60
570,Dark,330,65,40,80,40
351,Normal,420,70,70,70,70
471,Ice,525,60,110,130,95
298,Normal,190,20,40,20,40
514,Fire,498,98,63,98,63
458,Water,345,20,50,60,120
161,Normal,215,46,34,35,45
622,Ground,303,74,50,35,50
460,Grass,494,92,75,92,85
500,Fire,528,123,65,100,65
326,Psychic,470,45,65,90,110
277,Normal,430,85,60,50,50
285,Grass,295,40,60,40,60
494,Psychic,600,100,100,100,100
256,Fire,405,85,60,85,60
533,Fighting,405,105,85,40,50
92,Ghost,310,35,30,100,35
307,Fighting,280,40,55,40,55
232,Ground,500,120,120,60,60
451,Poison,330,50,90,30,55
54,Water,320,52,48,65,50
402,Bug,384,85,51,55,51
476,Rock,525,55,145,75,150
472,Ground,510,95,125,45,75
266,Bug,205,35,55,25,25
448,Fighting,525,110,70,115,70
198,Dark,405,85,42,85,42
259,Water,405,85,70,60,70
130,Water,540,125,79,60,100
340,Water,468,78,73,76,71
201,Psychic,336,72,48,72,48
189,Grass,460,55,70,55,95
123,Bug,500,110,80,55,80
527,Psychic,313,45,43,55,43
7,Water,314,48,65,50,64
428,Normal,480,76,84,54,96
592,Water,335,40,50,65,85
27,Ground,300,75,85,20,30
245,Water,580,75,115,90,115
117,Water,440,65,95,95,45
378,Ice,580,50,100,100,200
88,Poison,325,80,50,40,50
87,Water,475,70,80,70,95
558,Bug,475,95,125,65,75
404,Electric,363,85,49,60,49
495,Grass,308,45,55,45,55
521,Normal,488,115,80,65,55
191,Grass,180,30,30,30,30
140,Rock,355,80,90,55,45
412,Bug,224,29,45,29,45
650,Grass,313,61,65,48,45
594,Water,470,75,80,40,45
211,Water,430,95,75,55,55
303,Steel,380,85,85,55,55
83,Normal,352,65,55,58,62
634,Dark,420,85,70,65,70
144,Ice,580,85,100,95,125
97,Psychic,483,73,70,73,115
543,Bug,260,45,59,30,39
397,Normal,340,75,50,40,40
377,Rock,580,100,200,50,100
496,Grass,413,60,75,60,75
14,Bug,205,25,50,25,25
711,Ghost,494,90,122,58,75
311,Electric,405,50,40,85,75
701,Fighting,500,92,75,74,63
538,Fighting,465,100,85,30,85
89,Poison,500,105,75,65,100
175,Fairy,245,20,65,40,65
417,Electric,405,45,70,45,90
102,Grass,325,40,80,60,45
630,Dark,510,65,105,55,95
370,Water,330,30,55,40,65
392,Fire,534,104,71,104,71
269,Bug,385,50,70,50,90
544,Bug,360,55,99,40,79
253,Grass,405,65,45,85,65
293,Normal,240,51,23,51,23
30,Poison,365,62,67,55,55
467,Fire,540,95,67,125,95
693,Water,500,73,88,120,89
589,Bug,495,135,105,60,105
182,Grass,490,80,95,90,100
115,Normal,490,95,80,40,80
132,Normal,288,48,48,48,48
39,Normal,270,45,20,45,25
712,Ice,304,69,85,32,35
77,Fire,410,85,55,65,65
627,Normal,350,83,50,37,50
373,Dragon,600,135,80,110,80
220,Ice,250,50,40,30,30
520,Normal,358,77,62,50,42
503,Water,528,100,85,108,70
22,Normal,442,90,65,61,61
473,Ice,530,130,80,70,60
281,Psychic,278,35,35,65,55
250,Fire,680,130,90,110,154
154,Grass,525,82,100,83,100
721,Fire,600,110,120,130,90
515,Water,316,53,48,53,48
336,Poison,458,100,60,100,60
379,Steel,580,75,150,75,150
167,Bug,250,60,40,40,40
150,Psychic,680,110,90,154,90
596,Bug,472,77,60,97,60
648,Normal,600,77,77,128,128
376,Steel,600,135,130,95,90
329,Ground,340,70,50,50,50
453,Poison,300,61,40,61,40
235,Normal,250,20,35,20,45
247,Rock,410,84,70,65,70
210,Fairy,450,120,75,60,60
110,Poison,490,90,120,85,70
146,Fire,580,100,90,125,85
612,Dragon,540,147,90,60,70
578,Psychic,370,40,50,125,60
289,Normal,670,160,100,95,65
275,Grass,480,100,60,90,60
338,Rock,440,95,85,55,65
312,Electric,405,40,50,75,85
234,Normal,465,95,62,85,65
181,Electric,510,75,85,115,90
431,Normal,310,55,42,42,37
58,Fire,350,70,45,70,50
669,Fairy,303,38,39,61,79
291,Bug,456,90,45,50,50
272,Water,480,70,70,90,100
682,Fairy,341,52,60,63,65
642,Electric,580,115,70,125,80
465,Grass,535,100,125,110,50
359,Dark,465,130,60,75,60
683,Fairy,462,72,72,99,89
81,Electric,325,35,70,95,55
418,Water,330,65,35,60,30
562,Ghost,303,30,85,55,65
605,Psychic,335,55,55,85,55
381,Dragon,600,90,80,130,110
706,Dragon,600,100,70,110,150
286,Grass,460,130,80,60,60
57,Fighting,455,105,60,60,70
608,Ghost,370,40,60,95,60
225,Ice,330,55,45,65,45
